"","symbol","C51","C84","C83","C91","C34","C89","NC1","NC5","NC9","NC11","NC23","NC24"
"1","A1BG",15.69,24.1,25.39,47.52,23.19,11.3,74.21,28.05,32.17,49.99,63.2,51
"2","A1CF",0,0,0,0,0,0,0,0,0,0.85,0,0
"3","A2M",13.01,3,13,3,10,5,4,1,4,4,3,25
"4","A2ML1",0,0,3.33,2.05,0,2,0,1,0,0,1.02,0
"5","A3GALT2",0,3,0,1,2,2,0,0,0,0,0,1
"6","A4GALT",0,0,0,0,0,0,0,0,0,0,0,0
"7","A4GNT",0,1,0,2,0,0,0,0,2,0,0,0
"8","AAAS",753,543,557,765,341,412,784,695,889,781,913,934
"9","AACS",157,115,157,247,119,88,209,107,246,256,133,222
"10","AADAC",0,0,0,0,0,0,0,0,0,0,0,0
"11","AADACL2",0,0,0,0,0,1,0,0,1,0,0,0
"12","AADACL3",0,0,0,0,0,1,0,0,0,0,0,0
"13","AADACL4",0,0,0,0,0,0,0,0,0,0,0,0
"14","AADAT",0,0,0,0,0,1.83,0,0,0,0,0,1
"15","AAGAB",1291,1133,1121,1101,794,527,910,865,1246,1347,860,878
"16","AAK1",1072.28,640.01,738.43,1002.74,842.05,591.53,987.16,740.92,1399.54,782.71,544.47,909.72
"17","AAMDC",170.46,137.04,94,136,59,41,231,228,115,147,177,135
"18","AAMP",1967,1306,1197,1597,1016,695,1745,1166,2078,2258,2221,2056
"19","AANAT",6,1,26,4,5,3,11,61,9,24,53,6
"20","AAR2",969,629,546,679,449,308,743,558,986,908,648,728
"21","AARD",6.08,4.03,13.36,1.82,4.19,1.78,3.4,5.27,5.18,3.24,1.42,7.51
"22","AARS1",990,473,755,748,568,340,800,478,1393,787,733,876
"23","AARS2",254.31,115.12,206.51,261.99,147.59,83.58,213.11,144.48,466.49,226.82,240.03,281.86
"24","AARSD1",358.82,172,240.51,397.21,161.66,120,535,373,444.42,393.58,476.66,433.13
"25","AASDH",382,199,284,322.94,288,185,250,216,409,336,168,349
"26","AASDHPPT",726,462,519,636,596,335,314,283,868,742,315,559
"27","AASS",12.99,9.03,53.1,49.87,57.33,25.79,39.57,21.61,15.5,21.14,17.27,22.75
"28","AATF",2137,1352,1122,1450,1072,946,1818,1732,1976,2174,1971,1983
"29","AATK",629.19,848.82,549.64,605.35,377.93,561,590.54,602.86,363.36,835.8,1809.13,817.66
"30","ABAT",961,915,428,395,585,1238,194,223,491,663,227,592
"31","ABCA1",4273,1994,1478,586,3506,4157,213,510,1128,1065,817,1391
"32","ABCA10",37,22,29,26,24,41,32,12,58,18,22,45
"33","ABCA12",0,0,0,0,0,0,0,0,0,0,0,0
"34","ABCA13",518.49,136.91,169.17,15.98,157.02,148.06,11.27,3.92,48.06,45.05,3.03,25.84
"35","ABCA2",1640,674,1609,1003,553,536,612,1069,1170,1210,2485,1126
"36","ABCA3",85,33,106,93,30,32,63,97,110,60,86,71
"37","ABCA4",0,0,0,2,1,0,4,3,0,0,0,2
"38","ABCA5",398.06,197,305.03,379,292.55,425.1,277,161.89,581,216.2,118.01,350.92
"39","ABCA6",6,5,4,6,12,60,11,2,344,12,1,19
"40","ABCA7",3078,2475,4222,4584,2765,3240,3871,3319,3395,6111,7176,6398
"41","ABCA8",0,0,0,0,0,0,0,0,0,0,0,0
"42","ABCA9",21.2,13.9,20.05,25.02,17.98,43.1,21.31,26.52,105.19,20.71,9.99,23.62
"43","ABCB1",269,50.98,221.98,372.91,102,58,92.75,83,273,170.78,60.33,225.68
"44","ABCB10",951,575,506,542,551,393,282,337,855,676,332,582
"45","ABCB11",26.04,21.62,28.3,21.7,22.69,12.99,27.06,14.02,16.91,21.61,10.03,32.86
"46","ABCB4",10,1.02,2.02,29.09,18,14,22.25,5,119,38.22,25.67,82.32
"47","ABCB5",4,1.27,2.99,7.33,6.73,4.04,6.66,8.35,5.35,2.01,0,2.85
"48","ABCB6",182,66,128,123,101,76,151,77,114,91,97,119
"49","ABCB7",622.01,349.35,371.23,505.54,370.4,320.53,502.22,406.17,628.16,551.28,400.94,642.76
"50","ABCB8",176,199,190,256,90,52,245,244,330,266,552,277
"51","ABCB9",24,12,24,28,26,5,32,26,20,8,18,22
"52","ABCC1",1289,742,643,874,1005,714,816,629,1548,1372,425,1080
"53","ABCC10",365.84,345,447,354,264,181,305,352,555.95,466,464,431
